climate_zone	county
1	Broward County, Florida
1	Hawaii County, Hawaii
1	Honolulu County, Hawaii
1	Kalawao County, Hawaii
1	Kauai County, Hawaii
1	Maui County, Hawaii
1	Miami-Dade County, Florida
1	Monroe County, Florida
2	Acadia Parish, Louisiana
2	Alachua County, Florida
2	Allen Parish, Louisiana
2	Anderson County, Texas
2	Angelina County, Texas
2	Appling County, Georgia
2	Aransas County, Texas
2	Ascension Parish, Louisiana
2	Assumption Parish, Louisiana
2	Atascosa County, Texas
2	Atkinson County, Georgia
2	Austin County, Texas
2	Avoyelles Parish, Louisiana
2	Bacon County, Georgia
2	Baker County, Florida
2	Baker County, Georgia
2	Baldwin County, Alabama
2	Bandera County, Texas
2	Bastrop County, Texas
2	Bay County, Florida
2	Beauregard Parish, Louisiana
2	Bee County, Texas
2	Bell County, Texas
2	Berrien County, Georgia
2	Bexar County, Texas
2	Bosque County, Texas
2	Bradford County, Florida
2	Brantley County, Georgia
2	Brazoria County, Texas
2	Brazos County, Texas
2	Brevard County, Florida
2	Brooks County, Georgia
2	Brooks County, Texas
2	Bryan County, Georgia
2	Burleson County, Texas
2	Calcasieu Parish, Louisiana
2	Caldwell County, Texas
2	Calhoun County, Florida
2	Calhoun County, Texas
2	Camden County, Georgia
2	Cameron County, Texas
2	Cameron Parish, Louisiana
2	Chambers County, Texas
2	Charlotte County, Florida
2	Charlton County, Georgia
2	Chatham County, Georgia
2	Cherokee County, Texas
2	Citrus County, Florida
2	Clay County, Florida
2	Clinch County, Georgia
2	Collier County, Florida
2	Colorado County, Texas
2	Colquitt County, Georgia
2	Columbia County, Florida
2	Comal County, Texas
2	Cook County, Georgia
2	Coryell County, Texas
2	DeSoto County, Florida
2	DeWitt County, Texas
2	Decatur County, Georgia
2	Dimmit County, Texas
2	Dixie County, Florida
2	Duval County, Florida
2	Duval County, Texas
2	East Baton Rouge Parish, Louisiana
2	East Feliciana Parish, Louisiana
2	Echols County, Georgia
2	Edwards County, Texas
2	Effingham County, Georgia
2	Escambia County, Florida
2	Evangeline Parish, Louisiana
2	Evans County, Georgia
2	Falls County, Texas
2	Fayette County, Texas
2	Flagler County, Florida
2	Fort Bend County, Texas
2	Franklin County, Florida
2	Freestone County, Texas
2	Frio County, Texas
2	Gadsden County, Florida
2	Galveston County, Texas
2	Gilchrist County, Florida
2	Glades County, Florida
2	Glynn County, Georgia
2	Goliad County, Texas
2	Gonzales County, Texas
2	Grady County, Georgia
2	Grimes County, Texas
2	Guadalupe County, Texas
2	Gulf County, Florida
2	Hamilton County, Florida
2	Hancock County, Mississippi
2	Hardee County, Florida
2	Hardin County, Texas
2	Harris County, Texas
2	Harrison County, Mississippi
2	Hays County, Texas
2	Hendry County, Florida
2	Hernando County, Florida
2	Hidalgo County, Texas
2	Highlands County, Florida
2	Hill County, Texas
2	Hillsborough County, Florida
2	Holmes County, Florida
2	Houston County, Texas
2	Iberia Parish, Louisiana
2	Iberville Parish, Louisiana
2	Imperial County, California
2	Indian River County, Florida
2	Jackson County, Florida
2	Jackson County, Mississippi
2	Jackson County, Texas
2	Jasper County, Texas
2	Jeff Davis County, Georgia
2	Jefferson County, Florida
2	Jefferson County, Texas
2	Jefferson Davis Parish, Louisiana
2	Jefferson Parish, Louisiana
2	Jim Hogg County, Texas
2	Jim Wells County, Texas
2	Karnes County, Texas
2	Kenedy County, Texas
2	Kinney County, Texas
2	Kleberg County, Texas
2	La Paz County, Arizona
2	La Salle County, Texas
2	Lafayette County, Florida
2	Lafayette Parish, Louisiana
2	Lafourche Parish, Louisiana
2	Lake County, Florida
2	Lanier County, Georgia
2	Lavaca County, Texas
2	Lee County, Florida
2	Lee County, Texas
2	Leon County, Florida
2	Leon County, Texas
2	Levy County, Florida
2	Liberty County, Florida
2	Liberty County, Georgia
2	Liberty County, Texas
2	Limestone County, Texas
2	Live Oak County, Texas
2	Livingston Parish, Louisiana
2	Long County, Georgia
2	Lowndes County, Georgia
2	Madison County, Florida
2	Madison County, Texas
2	Manatee County, Florida
2	Maricopa County, Arizona
2	Marion County, Florida
2	Martin County, Florida
2	Matagorda County, Texas
2	Maverick County, Texas
2	McIntosh County, Georgia
2	McLennan County, Texas
2	McMullen County, Texas
2	Medina County, Texas
2	Milam County, Texas
2	Miller County, Georgia
2	Mitchell County, Georgia
2	Mobile County, Alabama
2	Montgomery County, Texas
2	Nassau County, Florida
2	Newton County, Texas
2	Nueces County, Texas
2	Okaloosa County, Florida
2	Okeechobee County, Florida
2	Orange County, Florida
2	Orange County, Texas
2	Orleans Parish, Louisiana
2	Osceola County, Florida
2	Palm Beach County, Florida
2	Pasco County, Florida
2	Pearl River County, Mississippi
2	Pierce County, Georgia
2	Pima County, Arizona
2	Pinal County, Arizona
2	Pinellas County, Florida
2	Plaquemines Parish, Louisiana
2	Pointe Coupee Parish, Louisiana
2	Polk County, Florida
2	Polk County, Texas
2	Putnam County, Florida
2	Rapides Parish, Louisiana
2	Real County, Texas
2	Refugio County, Texas
2	Robertson County, Texas
2	San Jacinto County, Texas
2	San Patricio County, Texas
2	Santa Rosa County, Florida
2	Sarasota County, Florida
2	Seminole County, Florida
2	Seminole County, Georgia
2	St. Bernard Parish, Louisiana
2	St. Charles Parish, Louisiana
2	St. Helena Parish, Louisiana
2	St. James Parish, Louisiana
2	St. John the Baptist Parish, Louisiana
2	St. Johns County, Florida
2	St. Landry Parish, Louisiana
2	St. Lucie County, Florida
2	St. Martin Parish, Louisiana
2	St. Mary Parish, Louisiana
2	St. Tammany Parish, Louisiana
2	Starr County, Texas
2	Stone County, Mississippi
2	Sumter County, Florida
2	Suwannee County, Florida
2	Tangipahoa Parish, Louisiana
2	Tattnall County, Georgia
2	Taylor County, Florida
2	Terrebonne Parish, Louisiana
2	Thomas County, Georgia
2	Toombs County, Georgia
2	Travis County, Texas
2	Trinity County, Texas
2	Tyler County, Texas
2	Union County, Florida
2	Uvalde County, Texas
2	Val Verde County, Texas
2	Vermilion Parish, Louisiana
2	Victoria County, Texas
2	Volusia County, Florida
2	Wakulla County, Florida
2	Walker County, Texas
2	Waller County, Texas
2	Walton County, Florida
2	Ware County, Georgia
2	Washington County, Florida
2	Washington County, Texas
2	Washington Parish, Louisiana
2	Wayne County, Georgia
2	Webb County, Texas
2	West Baton Rouge Parish, Louisiana
2	West Feliciana Parish, Louisiana
2	Wharton County, Texas
2	Willacy County, Texas
2	Williamson County, Texas
2	Wilson County, Texas
2	Yuma County, Arizona
2	Zapata County, Texas
2	Zavala County, Texas
3	Abbeville County, South Carolina
3	Adair County, Oklahoma
3	Adams County, Mississippi
3	Aiken County, South Carolina
3	Alameda County, California
3	Alcorn County, Mississippi
3	Alfalfa County, Oklahoma
3	Allendale County, South Carolina
3	Amite County, Mississippi
3	Anderson County, South Carolina
3	Andrews County, Texas
3	Anson County, North Carolina
3	Archer County, Texas
3	Arkansas County, Arkansas
3	Ashley County, Arkansas
3	Atoka County, Oklahoma
3	Attala County, Mississippi
3	Autauga County, Alabama
3	Baldwin County, Georgia
3	Bamberg County, South Carolina
3	Barbour County, Alabama
3	Barnwell County, South Carolina
3	Barrow County, Georgia
3	Bartow County, Georgia
3	Baylor County, Texas
3	Beaufort County, North Carolina
3	Beaufort County, South Carolina
3	Beckham County, Oklahoma
3	Ben Hill County, Georgia
3	Benton County, Mississippi
3	Berkeley County, South Carolina
3	Bibb County, Alabama
3	Bibb County, Georgia
3	Bienville Parish, Louisiana
3	Bladen County, North Carolina
3	Blaine County, Oklahoma
3	Blanco County, Texas
3	Bleckley County, Georgia
3	Blount County, Alabama
3	Bolivar County, Mississippi
3	Borden County, Texas
3	Bossier Parish, Louisiana
3	Bowie County, Texas
3	Bradley County, Arkansas
3	Brewster County, Texas
3	Brown County, Texas
3	Brunswick County, North Carolina
3	Bryan County, Oklahoma
3	Bulloch County, Georgia
3	Bullock County, Alabama
3	Burke County, Georgia
3	Burnet County, Texas
3	Butler County, Alabama
3	Butte County, California
3	Butts County, Georgia
3	Cabarrus County, North Carolina
3	Caddo County, Oklahoma
3	Caddo Parish, Louisiana
3	Caldwell Parish, Louisiana
3	Calhoun County, Alabama
3	Calhoun County, Arkansas
3	Calhoun County, Georgia
3	Calhoun County, Mississippi
3	Calhoun County, South Carolina
3	Callahan County, Texas
3	Camden County, North Carolina
3	Camp County, Texas
3	Canadian County, Oklahoma
3	Candler County, Georgia
3	Carroll County, Georgia
3	Carroll County, Mississippi
3	Carter County, Oklahoma
3	Carteret County, North Carolina
3	Cass County, Texas
3	Catahoula Parish, Louisiana
3	Chambers County, Alabama
3	Charleston County, South Carolina
3	Chattahoochee County, Georgia
3	Chaves County, New Mexico
3	Cherokee County, Alabama
3	Cherokee County, Georgia
3	Cherokee County, Oklahoma
3	Cherokee County, South Carolina
3	Chester County, South Carolina
3	Chester County, Tennessee
3	Chesterfield County, South Carolina
3	Chickasaw County, Mississippi
3	Chicot County, Arkansas
3	Childress County, Texas
3	Chilton County, Alabama
3	Choctaw County, Alabama
3	Choctaw County, Mississippi
3	Choctaw County, Oklahoma
3	Chowan County, North Carolina
3	Claiborne County, Mississippi
3	Claiborne Parish, Louisiana
3	Clarendon County, South Carolina
3	Clark County, Arkansas
3	Clark County, Nevada
3	Clarke County, Alabama
3	Clarke County, Georgia
3	Clarke County, Mississippi
3	Clay County, Alabama
3	Clay County, Arkansas
3	Clay County, Georgia
3	Clay County, Mississippi
3	Clay County, Texas
3	Clayton County, Georgia
3	Cleburne County, Alabama
3	Cleburne County, Arkansas
3	Cleveland County, Arkansas
3	Cleveland County, Oklahoma
3	Coahoma County, Mississippi
3	Coal County, Oklahoma
3	Cobb County, Georgia
3	Cochise County, Arizona
3	Coffee County, Alabama
3	Coffee County, Georgia
3	Coke County, Texas
3	Colbert County, Alabama
3	Coleman County, Texas
3	Colleton County, South Carolina
3	Collin County, Texas
3	Collingsworth County, Texas
3	Columbia County, Arkansas
3	Columbia County, Georgia
3	Columbus County, North Carolina
3	Colusa County, California
3	Comanche County, Oklahoma
3	Comanche County, Texas
3	Concho County, Texas
3	Concordia Parish, Louisiana
3	Conecuh County, Alabama
3	Contra Costa County, California
3	Conway County, Arkansas
3	Cooke County, Texas
3	Coosa County, Alabama
3	Copiah County, Mississippi
3	Cottle County, Texas
3	Cotton County, Oklahoma
3	Covington County, Alabama
3	Covington County, Mississippi
3	Coweta County, Georgia
3	Craig County, Oklahoma
3	Craighead County, Arkansas
3	Crane County, Texas
3	Craven County, North Carolina
3	Crawford County, Arkansas
3	Crawford County, Georgia
3	Creek County, Oklahoma
3	Crenshaw County, Alabama
3	Crisp County, Georgia
3	Crittenden County, Arkansas
3	Crockett County, Tennessee
3	Crockett County, Texas
3	Crosby County, Texas
3	Cross County, Arkansas
3	Culberson County, Texas
3	Cullman County, Alabama
3	Cumberland County, North Carolina
3	Currituck County, North Carolina
3	Custer County, Oklahoma
3	Dale County, Alabama
3	Dallas County, Alabama
3	Dallas County, Arkansas
3	Dallas County, Texas
3	Dare County, North Carolina
3	Darlington County, South Carolina
3	Davidson County, North Carolina
3	Dawson County, Texas
3	De Soto Parish, Louisiana
3	DeKalb County, Alabama
3	DeKalb County, Georgia
3	DeSoto County, Mississippi
3	Delaware County, Oklahoma
3	Delta County, Texas
3	Denton County, Texas
3	Desha County, Arkansas
3	Dewey County, Oklahoma
3	Dickens County, Texas
3	Dillon County, South Carolina
3	Dodge County, Georgia
3	Dona Ana County, New Mexico
3	Dooly County, Georgia
3	Dorchester County, South Carolina
3	Dougherty County, Georgia
3	Douglas County, Georgia
3	Drew County, Arkansas
3	Duplin County, North Carolina
3	Dyer County, Tennessee
3	Early County, Georgia
3	East Carroll Parish, Louisiana
3	Eastland County, Texas
3	Ector County, Texas
3	Eddy County, New Mexico
3	Edgecombe County, North Carolina
3	Edgefield County, South Carolina
3	El Paso County, Texas
3	Elbert County, Georgia
3	Ellis County, Oklahoma
3	Ellis County, Texas
3	Elmore County, Alabama
3	Emanuel County, Georgia
3	Erath County, Texas
3	Escambia County, Alabama
3	Etowah County, Alabama
3	Fairfield County, South Carolina
3	Fannin County, Texas
3	Faulkner County, Arkansas
3	Fayette County, Alabama
3	Fayette County, Georgia
3	Fayette County, Tennessee
3	Fisher County, Texas
3	Florence County, South Carolina
3	Foard County, Texas
3	Forrest County, Mississippi
3	Forsyth County, Georgia
